activity_id,week,location_id,co_share_group
A012,17,PLAT:BET:S15:WB,b4
A012,17,SEC:BET:H01_H02:WB,b4
A012,17,SEC:BET:H02_S15:WB,b4
A012,18,PLAT:BET:H01:WB,b4
A012,18,PLAT:BET:H02:WB,b4
A012,18,PLAT:BET:S15:WB,b4
A012,18,SEC:BET:H01_H02:WB,b4
A012,18,SEC:BET:H02_S15:WB,b4
A012,19,PLAT:BET:H01:WB,b5
A012,19,PLAT:BET:H02:WB,b5
A012,19,PLAT:BET:S15:WB,b5
A012,19,SEC:BET:H01_H02:WB,b5
A012,19,SEC:BET:H02_S15:WB,b5
A012,20,PLAT:BET:H01:WB,b5
A012,20,PLAT:BET:H02:WB,b5
A012,20,PLAT:BET:S15:WB,b5
A012,20,SEC:BET:H01_H02:WB,b5
A012,20,SEC:BET:H02_S15:WB,b5
A013,21,PLAT:ALP:S05:WB,b1
A013,21,PLAT:ALP:S06:WB,b1
A013,21,SEC:ALP:S05_S06:WB,b1
A013,22,PLAT:ALP:S05:WB,b2
A013,22,PLAT:ALP:S06:WB,b2
A013,22,SEC:ALP:S05_S06:WB,b2
A013,23,PLAT:ALP:S05:WB,b2
A013,23,PLAT:ALP:S06:WB,b2
A013,23,SEC:ALP:S05_S06:WB,b2
A013,24,PLAT:ALP:S05:WB,b1
A013,24,PLAT:ALP:S06:WB,b1
A013,24,SEC:ALP:S05_S06:WB,b1
A013,25,PLAT:ALP:S05:WB,b1
A013,25,PLAT:ALP:S06:WB,b1
A013,25,SEC:ALP:S05_S06:WB,b1
A014,18,PLAT:ALP:S07:EB,b3
A014,18,PLAT:ALP:S08:EB,b3
A014,18,SEC:ALP:S07_S08:EB,b3
A014,19,PLAT:ALP:S07:EB,b3
A014,19,PLAT:ALP:S08:EB,b3
A014,19,SEC:ALP:S07_S08:EB,b3
A014,20,PLAT:ALP:S07:EB,b2
A014,20,PLAT:ALP:S08:EB,b2
A014,20,SEC:ALP:S07_S08:EB,b2
A014,22,PLAT:ALP:S07:EB,b3
A014,22,PLAT:ALP:S08:EB,b3
A014,22,SEC:ALP:S07_S08:EB,b3
A014,23,PLAT:ALP:S07:EB,b3
A014,23,PLAT:ALP:S08:EB,b3
A014,23,SEC:ALP:S07_S08:EB,b3
A014,25,PLAT:ALP:S07:EB,b2
A014,25,PLAT:ALP:S08:EB,b2
A014,25,SEC:ALP:S07_S08:EB,b2
A014,26,PLAT:ALP:S07:EB,b1
A014,26,PLAT:ALP:S08:EB,b1
A014,26,SEC:ALP:S07_S08:EB,b1
A017,17,PLAT:BET:H01:EB,b3
A017,17,PLAT:BET:H02:EB,b3
A017,17,PLAT:BET:S15:EB,b3
A017,17,PLAT:BET:S16:EB,b3
A017,17,SEC:BET:H01_H02:EB,b3
A017,17,SEC:BET:H02_S15:EB,b3
A017,17,SEC:BET:S15_S16:EB,b3
A017,19,PLAT:BET:H01:EB,b1
A017,19,PLAT:BET:H02:EB,b1
A017,19,PLAT:BET:S15:EB,b1
A017,19,PLAT:BET:S16:EB,b1
A017,19,SEC:BET:H01_H02:EB,b1
A017,19,SEC:BET:H02_S15:EB,b1
A017,19,SEC:BET:S15_S16:EB,b1
A017,20,PLAT:BET:H01:EB,b5
A017,20,PLAT:BET:H02:EB,b5
A017,20,PLAT:BET:S15:EB,b5
A017,20,PLAT:BET:S16:EB,b5
A017,20,SEC:BET:H01_H02:EB,b5
A017,20,SEC:BET:H02_S15:EB,b5
A017,20,SEC:BET:S15_S16:EB,b5
A017,21,PLAT:BET:H01:EB,b2
A017,21,PLAT:BET:H02:EB,b2
A017,21,PLAT:BET:S15:EB,b2
A017,21,PLAT:BET:S16:EB,b2
A017,21,SEC:BET:H01_H02:EB,b2
A017,21,SEC:BET:H02_S15:EB,b2
A017,21,SEC:BET:S15_S16:EB,b2
A017,23,PLAT:BET:H01:EB,b4
A017,23,PLAT:BET:H02:EB,b4
A017,23,PLAT:BET:S15:EB,b4
A017,23,PLAT:BET:S16:EB,b4
A017,23,SEC:BET:H01_H02:EB,b4
A017,23,SEC:BET:H02_S15:EB,b4
A017,23,SEC:BET:S15_S16:EB,b4
A017,24,PLAT:BET:H01:EB,b1
A017,24,PLAT:BET:H02:EB,b1
A017,24,PLAT:BET:S15:EB,b1
A017,24,PLAT:BET:S16:EB,b1
A017,24,SEC:BET:H01_H02:EB,b1
A017,24,SEC:BET:H02_S15:EB,b1
A017,24,SEC:BET:S15_S16:EB,b1
A017,25,PLAT:BET:H01:EB,b1
A017,25,PLAT:BET:H02:EB,b1
A017,25,PLAT:BET:S15:EB,b1
A017,25,PLAT:BET:S16:EB,b1
A017,25,SEC:BET:H01_H02:EB,b1
A017,25,SEC:BET:H02_S15:EB,b1
A017,25,SEC:BET:S15_S16:EB,b1
A019,18,PLAT:BET:S16:EB,b4
A019,18,PLAT:BET:S17:EB,b4
A019,18,SEC:BET:S16_S17:EB,b4
A019,22,PLAT:BET:S16:EB,b4
A019,22,PLAT:BET:S17:EB,b4
A019,22,SEC:BET:S16_S17:EB,b4
A020,15,PLAT:ALP:H01:WB,b1
A020,15,PLAT:ALP:H02:WB,b1
A020,15,PLAT:ALP:S04:WB,b1
A020,15,PLAT:ALP:S05:WB,b1
A020,15,SEC:ALP:H01_H02:WB,b1
A020,15,SEC:ALP:H02_S05:WB,b1
A020,15,SEC:ALP:S04_H01:WB,b1
A020,16,PLAT:ALP:H01:WB,b4
A020,16,PLAT:ALP:H02:WB,b4
A020,16,PLAT:ALP:S04:WB,b4
A020,16,PLAT:ALP:S05:WB,b4
A020,16,SEC:ALP:H01_H02:WB,b4
A020,16,SEC:ALP:H02_S05:WB,b4
A020,16,SEC:ALP:S04_H01:WB,b4
A021,3,PLAT:BET:S11:WB,b1
A021,3,PLAT:BET:S12:WB,b1
A021,3,PLAT:BET:S13:WB,b1
A021,3,SEC:BET:S11_S12:WB,b1
A021,3,SEC:BET:S12_S13:WB,b1
A021,4,PLAT:BET:S11:WB,b1
A021,4,PLAT:BET:S12:WB,b1
A021,4,PLAT:BET:S13:WB,b1
A021,4,SEC:BET:S11_S12:WB,b1
A021,4,SEC:BET:S12_S13:WB,b1
A021,29,PLAT:BET:S11:WB,b1
A021,29,PLAT:BET:S12:WB,b1
A021,29,PLAT:BET:S13:WB,b1
A021,29,SEC:BET:S11_S12:WB,b1
A021,29,SEC:BET:S12_S13:WB,b1
A023,21,PLAT:ALP:S03:WB,b5
A023,21,PLAT:ALP:S04:WB,b5
A023,21,SEC:ALP:S03_S04:WB,b5
A023,22,PLAT:ALP:S03:WB,b5
A023,22,PLAT:ALP:S04:WB,b5
A023,22,SEC:ALP:S03_S04:WB,b5
A023,23,PLAT:ALP:S03:WB,b5
A023,23,PLAT:ALP:S04:WB,b5
A023,23,SEC:ALP:S03_S04:WB,b5
A023,24,PLAT:ALP:S03:WB,b6
A023,24,PLAT:ALP:S04:WB,b6
A023,24,SEC:ALP:S03_S04:WB,b6
A023,26,PLAT:ALP:S03:WB,b1
A023,26,PLAT:ALP:S04:WB,b1
A023,26,SEC:ALP:S03_S04:WB,b1
A023,27,PLAT:ALP:S03:WB,b3
A023,27,PLAT:ALP:S04:WB,b3
A023,27,SEC:ALP:S03_S04:WB,b3
A023,28,PLAT:ALP:S03:WB,b2
A023,28,PLAT:ALP:S04:WB,b2
A023,28,SEC:ALP:S03_S04:WB,b2
A025,13,PLAT:ALP:S01:EB,b2
A025,13,PLAT:ALP:S02:EB,b2
A025,13,PLAT:ALP:S03:EB,b2
A025,13,SEC:ALP:S01_S02:EB,b2
A025,13,SEC:ALP:S02_S03:EB,b2
A025,20,PLAT:ALP:S01:EB,b1
A025,20,PLAT:ALP:S02:EB,b1
A025,20,PLAT:ALP:S03:EB,b1
A025,20,SEC:ALP:S01_S02:EB,b1
A025,20,SEC:ALP:S02_S03:EB,b1
A025,24,PLAT:ALP:S01:EB,b4
A025,24,PLAT:ALP:S02:EB,b4
A025,24,PLAT:ALP:S03:EB,b4
A025,24,SEC:ALP:S01_S02:EB,b4
A025,24,SEC:ALP:S02_S03:EB,b4
A025,25,PLAT:ALP:S01:EB,b3
A025,25,PLAT:ALP:S02:EB,b3
A025,25,PLAT:ALP:S03:EB,b3
A025,25,SEC:ALP:S01_S02:EB,b3
A025,25,SEC:ALP:S02_S03:EB,b3
A025,27,PLAT:ALP:S01:EB,b4
A025,27,PLAT:ALP:S02:EB,b4
A025,27,PLAT:ALP:S03:EB,b4
A025,27,SEC:ALP:S01_S02:EB,b4
A025,27,SEC:ALP:S02_S03:EB,b4
A025,28,PLAT:ALP:S01:EB,b4
A025,28,PLAT:ALP:S02:EB,b4
A025,28,PLAT:ALP:S03:EB,b4
A025,28,SEC:ALP:S01_S02:EB,b4
A025,28,SEC:ALP:S02_S03:EB,b4
A025,29,PLAT:ALP:S01:EB,b2
A025,29,PLAT:ALP:S02:EB,b2
A025,29,PLAT:ALP:S03:EB,b2
A025,29,SEC:ALP:S01_S02:EB,b2
A025,29,SEC:ALP:S02_S03:EB,b2
A028,10,PLAT:ALP:H01:EB,b1
A028,10,PLAT:ALP:S03:EB,b1
A028,10,PLAT:ALP:S04:EB,b1
A028,10,SEC:ALP:S03_S04:EB,b1
A028,10,SEC:ALP:S04_H01:EB,b1
A028,11,PLAT:ALP:H01:EB,b1
A028,11,PLAT:ALP:S03:EB,b1
A028,11,PLAT:ALP:S04:EB,b1
A028,11,SEC:ALP:S03_S04:EB,b1
A028,11,SEC:ALP:S04_H01:EB,b1
A031,1,PLAT:ALP:S06:WB,b1
A031,1,PLAT:ALP:S07:WB,b1
A031,1,PLAT:ALP:S08:WB,b1
A031,1,SEC:ALP:S06_S07:WB,b1
A031,1,SEC:ALP:S07_S08:WB,b1
A031,6,PLAT:ALP:S06:WB,b1
A031,6,PLAT:ALP:S07:WB,b1
A031,6,PLAT:ALP:S08:WB,b1
A031,6,SEC:ALP:S06_S07:WB,b1
A031,6,SEC:ALP:S07_S08:WB,b1
A035,1,PLAT:ALP:S02:WB,b1
A035,1,PLAT:ALP:S03:WB,b1
A035,1,PLAT:ALP:S04:WB,b1
A035,1,SEC:ALP:S02_S03:WB,b1
A035,1,SEC:ALP:S03_S04:WB,b1
A035,25,PLAT:ALP:S02:WB,b4
A035,25,PLAT:ALP:S03:WB,b4
A035,25,PLAT:ALP:S04:WB,b4
A035,25,SEC:ALP:S02_S03:WB,b4
A035,25,SEC:ALP:S03_S04:WB,b4
A035,26,PLAT:ALP:S02:WB,b1
A035,26,PLAT:ALP:S03:WB,b1
A035,26,PLAT:ALP:S04:WB,b1
A035,26,SEC:ALP:S02_S03:WB,b1
A035,26,SEC:ALP:S03_S04:WB,b1
A036,22,PLAT:BET:H01:EB,b5
A036,22,PLAT:BET:S14:EB,b5
A036,22,SEC:BET:S14_H01:EB,b5
A036,23,PLAT:BET:H01:EB,b4
A036,23,PLAT:BET:S14:EB,b4
A036,23,SEC:BET:S14_H01:EB,b4
A036,24,PLAT:BET:H01:EB,b1
A036,24,PLAT:BET:S14:EB,b1
A036,24,SEC:BET:S14_H01:EB,b1
A036,25,PLAT:BET:H01:EB,b1
A036,25,PLAT:BET:S14:EB,b1
A036,25,SEC:BET:S14_H01:EB,b1
A036,26,PLAT:BET:H01:EB,b1
A036,26,PLAT:BET:S14:EB,b1
A036,26,SEC:BET:S14_H01:EB,b1
A036,27,PLAT:BET:H01:EB,b6
A036,27,PLAT:BET:S14:EB,b6
A036,27,SEC:BET:S14_H01:EB,b6
A036,28,PLAT:BET:H01:EB,b1
A036,28,PLAT:BET:S14:EB,b1
A036,28,SEC:BET:S14_H01:EB,b1
A037,8,PLAT:BET:S15:EB,b1
A037,8,PLAT:BET:S16:EB,b1
A037,8,PLAT:BET:S17:EB,b1
A037,8,SEC:BET:S15_S16:EB,b1
A037,8,SEC:BET:S16_S17:EB,b1
A037,9,PLAT:BET:S15:EB,b1
A037,9,PLAT:BET:S16:EB,b1
A037,9,PLAT:BET:S17:EB,b1
A037,9,SEC:BET:S15_S16:EB,b1
A037,9,SEC:BET:S16_S17:EB,b1
A038,13,PLAT:BET:S17:EB,b1
A038,13,PLAT:BET:S18:EB,b1
A038,13,SEC:BET:S17_S18:EB,b1
A038,16,PLAT:BET:S17:EB,b3
A038,16,PLAT:BET:S18:EB,b3
A038,16,SEC:BET:S17_S18:EB,b3
A038,18,PLAT:BET:S17:EB,b2
A038,18,PLAT:BET:S18:EB,b2
A038,18,SEC:BET:S17_S18:EB,b2
A039,9,PLAT:BET:S11:WB,b2
A039,9,PLAT:BET:S12:WB,b2
A039,9,PLAT:BET:S13:WB,b2
A039,9,PLAT:BET:S14:WB,b2
A039,9,SEC:BET:S11_S12:WB,b2
A039,9,SEC:BET:S12_S13:WB,b2
A039,9,SEC:BET:S13_S14:WB,b2
A039,10,PLAT:BET:S11:WB,b1
A039,10,PLAT:BET:S12:WB,b1
A039,10,PLAT:BET:S13:WB,b1
A039,10,PLAT:BET:S14:WB,b1
A039,10,SEC:BET:S11_S12:WB,b1
A039,10,SEC:BET:S12_S13:WB,b1
A039,10,SEC:BET:S13_S14:WB,b1
A039,12,PLAT:BET:S11:WB,b1
A039,12,PLAT:BET:S12:WB,b1
A039,12,PLAT:BET:S13:WB,b1
A039,12,PLAT:BET:S14:WB,b1
A039,12,SEC:BET:S11_S12:WB,b1
A039,12,SEC:BET:S12_S13:WB,b1
A039,12,SEC:BET:S13_S14:WB,b1
A039,15,PLAT:BET:S11:WB,b2
A039,15,PLAT:BET:S12:WB,b2
A039,15,PLAT:BET:S13:WB,b2
A039,15,PLAT:BET:S14:WB,b2
A039,15,SEC:BET:S11_S12:WB,b2
A039,15,SEC:BET:S12_S13:WB,b2
A039,15,SEC:BET:S13_S14:WB,b2
A039,16,PLAT:BET:S11:WB,b1
A039,16,PLAT:BET:S12:WB,b1
A039,16,PLAT:BET:S13:WB,b1
A039,16,PLAT:BET:S14:WB,b1
A039,16,SEC:BET:S11_S12:WB,b1
A039,16,SEC:BET:S12_S13:WB,b1
A039,16,SEC:BET:S13_S14:WB,b1
A039,18,PLAT:BET:S11:WB,b1
A039,18,PLAT:BET:S12:WB,b1
A039,18,PLAT:BET:S13:WB,b1
A039,18,PLAT:BET:S14:WB,b1
A039,18,SEC:BET:S11_S12:WB,b1
A039,18,SEC:BET:S12_S13:WB,b1
A039,18,SEC:BET:S13_S14:WB,b1
A039,20,PLAT:BET:S11:WB,b4
A039,20,PLAT:BET:S12:WB,b4
A039,20,PLAT:BET:S13:WB,b4
A039,20,PLAT:BET:S14:WB,b4
A039,20,SEC:BET:S11_S12:WB,b4
A039,20,SEC:BET:S12_S13:WB,b4
A039,20,SEC:BET:S13_S14:WB,b4
A040,13,PLAT:BET:H01:EB,b3
A040,13,PLAT:BET:H02:EB,b3
A040,13,PLAT:BET:S15:EB,b3
A040,13,PLAT:BET:S16:EB,b3
A040,13,SEC:BET:H01_H02:EB,b3
A040,13,SEC:BET:H02_S15:EB,b3
A040,13,SEC:BET:S15_S16:EB,b3
A040,14,PLAT:BET:H01:EB,b1
A040,14,PLAT:BET:H02:EB,b1
A040,14,PLAT:BET:S15:EB,b1
A040,14,PLAT:BET:S16:EB,b1
A040,14,SEC:BET:H01_H02:EB,b1
A040,14,SEC:BET:H02_S15:EB,b1
A040,14,SEC:BET:S15_S16:EB,b1
A040,15,PLAT:BET:H01:EB,b1
A040,15,PLAT:BET:H02:EB,b1
A040,15,PLAT:BET:S15:EB,b1
A040,15,PLAT:BET:S16:EB,b1
A040,15,SEC:BET:H01_H02:EB,b1
A040,15,SEC:BET:H02_S15:EB,b1
A040,15,SEC:BET:S15_S16:EB,b1
A040,17,PLAT:BET:H01:EB,b3
A040,17,PLAT:BET:H02:EB,b3
A040,17,PLAT:BET:S15:EB,b3
A040,17,PLAT:BET:S16:EB,b3
A040,17,SEC:BET:H01_H02:EB,b3
A040,17,SEC:BET:H02_S15:EB,b3
A040,17,SEC:BET:S15_S16:EB,b3
A040,18,PLAT:BET:H01:EB,b4
A040,18,PLAT:BET:H02:EB,b4
A040,18,PLAT:BET:S15:EB,b4
A040,18,PLAT:BET:S16:EB,b4
A040,18,SEC:BET:H01_H02:EB,b4
A040,18,SEC:BET:H02_S15:EB,b4
A040,18,SEC:BET:S15_S16:EB,b4
A040,25,PLAT:BET:H01:EB,b1
A040,25,PLAT:BET:H02:EB,b1
A040,25,PLAT:BET:S15:EB,b1
A040,25,PLAT:BET:S16:EB,b1
A040,25,SEC:BET:H01_H02:EB,b1
A040,25,SEC:BET:H02_S15:EB,b1
A040,25,SEC:BET:S15_S16:EB,b1
A040,27,PLAT:BET:H01:EB,b6
A040,27,PLAT:BET:H02:EB,b6
A040,27,PLAT:BET:S15:EB,b6
A040,27,PLAT:BET:S16:EB,b6
A040,27,SEC:BET:H01_H02:EB,b6
A040,27,SEC:BET:H02_S15:EB,b6
A040,27,SEC:BET:S15_S16:EB,b6
A041,15,PLAT:BET:S15:EB,b3
A041,15,PLAT:BET:S16:EB,b3
A041,15,SEC:BET:S15_S16:EB,b3
A041,26,PLAT:BET:S15:EB,b2
A041,26,PLAT:BET:S16:EB,b2
A041,26,SEC:BET:S15_S16:EB,b2
A042,23,PLAT:BET:S15:EB,b4
A042,23,PLAT:BET:S16:EB,b4
A042,23,PLAT:BET:S17:EB,b4
A042,23,PLAT:BET:S18:EB,b4
A042,23,SEC:BET:S15_S16:EB,b4
A042,23,SEC:BET:S16_S17:EB,b4
A042,23,SEC:BET:S17_S18:EB,b4
A042,24,PLAT:BET:S15:EB,b1
A042,24,PLAT:BET:S16:EB,b1
A042,24,PLAT:BET:S17:EB,b1
A042,24,PLAT:BET:S18:EB,b1
A042,24,SEC:BET:S15_S16:EB,b1
A042,24,SEC:BET:S16_S17:EB,b1
A042,24,SEC:BET:S17_S18:EB,b1
A042,25,PLAT:BET:S15:EB,b1
A042,25,PLAT:BET:S16:EB,b1
A042,25,PLAT:BET:S17:EB,b1
A042,25,PLAT:BET:S18:EB,b1
A042,25,SEC:BET:S15_S16:EB,b1
A042,25,SEC:BET:S16_S17:EB,b1
A042,25,SEC:BET:S17_S18:EB,b1
A043,14,PLAT:BET:H02:EB,b1
A043,14,PLAT:BET:S15:EB,b1
A043,14,PLAT:BET:S16:EB,b1
A043,14,PLAT:BET:S17:EB,b1
A043,14,SEC:BET:H02_S15:EB,b1
A043,14,SEC:BET:S15_S16:EB,b1
A043,14,SEC:BET:S16_S17:EB,b1
A043,19,PLAT:BET:H02:EB,b1
A043,19,PLAT:BET:S15:EB,b1
A043,19,PLAT:BET:S16:EB,b1
A043,19,PLAT:BET:S17:EB,b1
A043,19,SEC:BET:H02_S15:EB,b1
A043,19,SEC:BET:S15_S16:EB,b1
A043,19,SEC:BET:S16_S17:EB,b1
A046,9,PLAT:ALP:S05:WB,b1
A046,9,PLAT:ALP:S06:WB,b1
A046,9,SEC:ALP:S05_S06:WB,b1
A046,17,PLAT:ALP:S05:WB,b4
A046,17,PLAT:ALP:S06:WB,b4
A046,17,SEC:ALP:S05_S06:WB,b4
A046,19,PLAT:ALP:S05:WB,b5
A046,19,PLAT:ALP:S06:WB,b5
A046,19,SEC:ALP:S05_S06:WB,b5
A046,20,PLAT:ALP:S05:WB,b4
A046,20,PLAT:ALP:S06:WB,b4
A046,20,SEC:ALP:S05_S06:WB,b4
A046,25,PLAT:ALP:S05:WB,b1
A046,25,PLAT:ALP:S06:WB,b1
A046,25,SEC:ALP:S05_S06:WB,b1
A047,14,PLAT:ALP:H02:EB,b2
A047,14,PLAT:ALP:S05:EB,b2
A047,14,PLAT:ALP:S06:EB,b2
A047,14,SEC:ALP:H02_S05:EB,b2
A047,14,SEC:ALP:S05_S06:EB,b2
A047,16,PLAT:ALP:H02:EB,b2
A047,16,PLAT:ALP:S05:EB,b2
A047,16,PLAT:ALP:S06:EB,b2
A047,16,SEC:ALP:H02_S05:EB,b2
A047,16,SEC:ALP:S05_S06:EB,b2
A048,1,PLAT:BET:S13:EB,b1
A048,1,PLAT:BET:S14:EB,b1
A048,1,SEC:BET:S13_S14:EB,b1
A048,2,PLAT:BET:S13:EB,b1
A048,2,PLAT:BET:S14:EB,b1
A048,2,SEC:BET:S13_S14:EB,b1
A048,3,PLAT:BET:S13:EB,b1
